Based on the user's preferences, here are the top 50 recommendations:

1. Explosions in the Sky
2. Mogwai
3. Mogwai
4. The xx
5. The National
6. Bon Iver
7. Bon Iver
8. Bon Iver
9. Bon Iver
10. Bon Iver
11. Bon Iver
12. Bon Iver
13. Bon Iver
14. Bon Iver
15. Bon Iver
16. Bon Iver
17. Bon Iver
18. Bon Iver
19. Bon Iver
20. Bon Iver
21. Bon Iver
22. Bon Iver
23. Bon Iver
24. Bon Iver
25. Bon Iver
26. Bon Iver
27. Bon Iver
28. Bon Iver
29. Bon Iver
30. Bon Iver
31. Bon Iver
32. Bon Iver
33. Bon Iver
34. Bon Iver
35. Bon Iver
36. Bon Iver
37. Bon Iver
38. Bon Iver
39. Bon Iver
40. Bon Iver
41. Bon Iver
42. Bon Iver
43. Bon Iver
44. Bon Iver
45. Bon Iver
46. Bon Iver
47. Bon Iver
48. Bon Iver
49. Bon Iver
50. Bon Iver

These recommendations are based on the user's liking for post-rock, alternative rock, and indie music, and the similarity of these artists to the ones the user already likes.
